Fly,Axe
Layout_Type,Option_Lieu
Run,Mat
Run_Time,Mat_Slit
Layout_Number,Option_Gallop
adjust,Fourth
adjustID,FourthID
sv,It
Just,Pile
ADJustInitType,ADPileWineLieu
sv_ADJustInitType,sv_ADPileWineLieu
ADJustTime,ADPileSlit
sv_ADJustTime,It_ADPileSlit
Revenue,Reality
adjustInitAdRevenue,FourthWineSoReality
MAX,MAX
SDK,SDK
KEY,KEY
MAX_SDK_KEY,MAX_SDK_KEY
REWARD,REWARD
MAX_REWARD_ID,MAX_REWARD_ID
INTER,INTER
MAX_INTER_ID,MAX_INTER_ID
retry,Ditch
Attempt,Magnify
retryAttempt,DitchMagnify
Showing,Rainbow
isShowingAd,ItRainbowSo
Network,Artwork
rewardNetworkName,UplandArtworkOver
Call,Expo
Back,Lash
rewardCallBackAction,UplandExpoBackEndear
Success,Soloist
rewardSuccess,UplandSoloist
rewardIndex,UplandMoody
interstitial,Ethnographic
interstitialNetworkName,EthnographicArtworkOver
interstitialType,EthnographicLieu
interstitialIndex,EthnographicMoody
ad,Go
Playing,Octopus
Callbacks,Petroleum
adPlayingCallbacks,GoOctopusPetroleum
application,Patriarchal
Pause,Endow
Timestamp,Magnetism
applicationPauseTimestamp,PatriarchalEndowMagnetism
Custom,Editor
RewardAdCustomData,GreeceSoEditorSoul
Interstitial,Increasingly
InterstitialAdCustomData,IncreasinglySoEditorSoul
Rewardnum,Courtship
InterstitialRewardnum,IncreasinglyCourtship
appid,Decor
dictionary,Brightness
Message,Outdoor
dictionaryMessage,BrightnessOutdoor
value,Argon
Bool,Tape
valueBool,valueTape
valueBool2,valueTape2
Int,Gas
valueInt,ArgonGas
valueInt2,ArgonGas2
valueInt3,ArgonGas3
Float,Hairy
valueFloat,ArgonHairy
valueFloat2,ArgonHairy2
Double,Syntax
valueDouble,ArgonSyntax
valueDouble2,ArgonSyntax2
String,Coyote
valueString,ArgonCoyote
valueString2,ArgonCoyote2
valueGameObject,ArgonLullScreen
valueGameObject2,ArgonLullScreen2
valueGameObject3,ArgonLullScreen3
valueGameObject4,ArgonLullScreen4
valueTransform,ArgonRefurbish
valueStringList,ArgonCoyotePeak
Vec,Fin
valueVec,ArgonVec
valueVec2List,ArgonVec2Peak
valueIntList,ArgonGasPeak
message,Lantern
messageCallBack,LanternExpoLash
vec,Saw
vec2_1,Saw2_1
vec2_2,Saw2_2
Login,Sting
Url,Fee
LoginUrl,StingUrl
Config,Shaman
ConfigUrl,ShamanFee
TimeUrl,SlitFee
Adjust,Effort
AdjustUrl,EffortFee
Local,Elder
User,Tray
LocalUserId,ElderTrayNo
sv_LocalUserId,It_ElderTrayNo
Server,Endure
LocalServerId,ElderEndureNo
sv_LocalServerId,It_ElderEndureNo
New,Nss
Player,Untold
IsNewPlayer,IDNssUntold
sv_IsNewPlayer,It_IDNssUntold
user,Warp
rate,Pest
us,On
sv_user_show_rate_us,It_Warp_Dull_Pest_On
Daily,Belle
Bouns,Slide
DailyBounsGetCount,BelleSlideHowPulse
sv_DailyBounsGetCount,It_BelleSlideHowPulse
Date,Taut
DailyBounsDate,BelleSlideDate
sv_DailyBounsDate,It_BelleSlideDate
NewUserStep,NssTrayHere
sv_NewUserStep,It_NssTrayHere
GoldCoin,HallAiry
sv_GoldCoin,It_HallAiry
Cumulative,Immobilize
CumulativeGoldCoin,ImmobilizeHallAiry
sv_CumulativeGoldCoin,It_ImmobilizeHallAiry
Token,Breed
sv_Token,It_Breed
CumulativeToken,ImmobilizeBreed
sv_CumulativeToken,It_ImmobilizeBreed
Point,Naked
PointCashToken,NakedFareBreed
sv_PointCashToken,It_NakedFareBreed
Amazon,Degree
sv_Amazon,It_Degree
CumulativeAmazon,ImmobilizeDegree
sv_CumulativeAmazon,It_ImmobilizeDegree
Total,Arise
TotalGameTime,AriseLullSlit
sv_TotalGameTime,It_AriseLullSlit
FirstGetToken,AfterHowBreed
sv_FirstGetToken,It_AfterHowBreed
Has,Sty
Show,Knot
Rate,Last
Panel,Dwarf
HasShowRatePanel,HasKnotLastDwarf
sv_HasShowRatePanel,It_HasKnotLastDwarf
Lottery,Harmony
CumulativeLottery,ImmobilizeHarmony
sv_CumulativeLottery,It_ImmobilizeHarmony
Already,Foundry
Pass,Plus
Levels,Valley
AlreadyPassLevels,FoundryPlusValley
sv_AlreadyPassLevels,It_FoundryPlusValley
NewUserStepFinish,NssTrayHereUnfold
sv_NewUserStepFinish,It_NssTrayHereUnfold
task,Lobe
count,Lyric
sv_task_level_count,It_Lobe_Score_Lyric
FirstSlot,AfterPray
sv_FirstSlot,It_AfterPray
Low,Hot
FirstLowReward,AfterHotGreece
sv_FirstLowReward,It_AfterHotGreece
Adid,Zinc
AdjustAdid,EffortZinc
sv_AdjustAdid,It_EffortZinc
trial,Hotel
num,Bed
sv_ad_trial_num,It_Go_Hotel_Bed
total,Scour
sv_total_ad_num,It_Scour_Go_Bed
Last,Hurl
Key,Aie
LastCheckDateKey,HurlBrandTautAie
sv_LastCheckDateKey,It_HurlBrandTautAie
DailyReward,BelleGreece
sv_DailyReward,It_BelleGreece
mg,To
Window,Purely
WindowOpen,PurelyYork
mg_WindowOpen,To_PurelyYork
WindowClose,PurelyDodge
mg_WindowClose,To_PurelyDodge
ui,So
levelcomplete,Daguerreotype
mg_ui_levelcomplete,To_ui_Daguerreotype
addgold,Thunder
mg_ui_addgold,To_So_Thunder
addtoken,Reaction
mg_ui_addtoken,To_So_addtoken
addamazon,Aborigine
mg_ui_addamazon,To_So_Aborigine
Suspend,Comfort
GameSuspend,LullComfort
mg_GameSuspend,To_LullComfort
ItemChange,HighHalite
mg_ItemChange_,To_HighHalite_
Activity,Civility
ActivityStateChange,CivilityVogueHalite
mg_ActivityStateChange_,To_CivilityVogueHalite_
LevelMaxLevelChange,DeltaStyDeltaHalite
mg_LevelMaxLevelChange,To_DeltaStyDeltaHalite
Updata,Spring
OnComboUpdata,OrPartyUpdata
mg_OnComboUpdata,To_OrPartyUpdata
OnComboShow,OrPartyKnot
mg_OnComboShow,To_OrPartyKnot
OnAddScore,OrBatRoute
mg_OnAddScore,To_OrBatRoute
UpdataDayReward,SpringEyeGreece
mg_UpdataDayReward,To_SpringEyeGreece
Click,Third
OnMahjongClick,OrAngularThird
mg_OnMahjongClick,To_OrAngularThird
path,Live
path_GoldCoin_Sprite,Live_HallAiry_Corpse
Dimond,Author
path_Token_Sprite_Dimond,Live_Breed_Corpse_Author
From,Well
DataFrom,SoulWell
TIMEOUT,TIMEOUT
Base,Real
BaseUrl,RealFee
BaseLoginUrl,RealStingFee
BaseConfigUrl,RealShamanFee
BaseTimeUrl,RealSlitFee
BaseAdjustUrl,RealEffortFee
Code,Feel
GameCode,LullFeel
Channel,Conifer
country,Concern
ConfigData,ShamanSoul
GameData,LullSoul
InitData,WineSoul
Manager,Evening
adManager,GoEvening
gaid,Exam
aid,Wok
idfa,Unit
ready_count,Plate_Lyric
Block,Hence
Rule,Wipe
BlockRule,HenceWipe
CashOut,FareIts
CashOut_Data,FareIts_Soul
Str,Oat
UserDataStr,TraySoulOat
UserData,TraySoul
Info,Bust
GetUserInfoCount,HowTrayBustPulse
text,Well
GetSuccess,HowSoloist
Fail,Grip
GetFail,HowGrip
DEFAULT,DEFAULT
DEFAULT_TIMEOUT,DEFAULT_TIMEOUT
RETRY,RETRY
COUNT,COUNT
MAX_RETRY_COUNT,MAX_RETRY_COUNT
INTERVAL,INTERVAL
RETRY_INTERVAL,RETRY_INTERVAL
request,Mollusk
Tasks,Newly
requestTasks,MolluskNewly
Net,Cry
Work,Cyan
NetWorkGetList,CryCyanHowPeak
Post,Spit
NetWorkPostList,CryCyanSpitPeak
URL,URL
Form,Eddy
PostSuccess,SpitSoloist
PostFail,SpitGrip
isclick,Deviate
Hand,File
corners,Similar
targetWidth,MaracaMedia
Height,Weldon
targetHeight,MaracaWeldon
center,Strict
Pool,Clan
PoolQueue,ClanRoman
m_PoolQueue,m_ClanRoman
PoolName,ClanOver
m_PoolName,m_ClanOver
Parent,Weaver
m_Parent,m_Weaver
prefab,Steady
m_MaxCount,m_MaxPulse
Default,Lawlike
DefaultMaxCount,LawlikeStyPulse
m_DefaultMaxCount,m_LawlikeStyPulse
Dic,Mar
PoolDic,ClanMar
m_PoolDic,m_ClanMar
Root,June
RootTransform,JuneRefurbish
m_RootTransform,m_JuneRefurbish
Toast,Allay
ToastText,AllayPity
need,Come
Start,Vault
Refresh,Tractor
needStartRefresh,ComeVaultTractor
Tracker,Reelect
TrackerName,ReelectOver
Adjust_TrackerName,Effort_ReelectOver
Save,Bond
AP,AP
Save_AP,Bond_AP
Normal,Breast
NormalModeName,BreastSpurOver
Distances,Grandiose
Reason,Latest
Log,See
StepLog,HereSee
targetCount,MaracaPulse
rewardPrefabPU,UplandDismalPU
achievements,Multiplicity
Line,Wild
achievementsLinePrefab,MultiplicityWildDismal
reset,Theme
After,Diver
resetAfterGetReward,ThemeAfterHowGreece
dLog,dSee
prefix,Spread
Current,Precede
ChangeCurrentCountEvent,HalitePrecedePulseAnvil
Stage,Valid
ChangeCurrentStageEvent,HalitePrecedeValidAnvil
Received,Obligate
RewardReceivedEvent,GreeceObligateAnvil
Reset,Swear
ResetReceivedEvent,SwearObligateAnvil
Have,Roll
Achieved,Consider
HaveTargetAchievedEvent,RollMildlyConsiderAnvil
source,Hazard
sourceSprite,HazardCorpse
Aliases,Discuss
spriteAliases,AttainDiscuss
Theme,React
ChangeThemeAction,HaliteReactEndear
inc,Dry
incButton,DrySeaman
dec,Gem
decButton,decSeaman
input,Probe
Field,Happy
inputField,ProbeHappy
textField,WellHappy
toggle,Hander
object,Refute
objectButton,RefuteSeaman
objectButtonText,RefuteSeamanPity
mode,Gust
modeButton,GustSeaman
modeText,GustPity
OpenCloseButton,YorkDodgeSeaman
Brush,Title
Select,Eleven
BrushSelectButton,TitleElevenSeaman
selector,Seedling
brush,Table
brushImage,TableReady
BrushName,TitleOver
capital,Mixture
Objects,Coconut
gridObjects,MoteCoconut
Scroll,Unseen
ScrollPanelPrefab,UnseenDwarfDismal
Small,Laugh
ScrollPanelPrefabSmall,UnseenDwarfDismalLaugh
ScrollPanel,UnseenDwarf
Caption,Brittle
textCaption,WellBrittle
scroll,Shelve
Content,Crumble
scrollContent,ShelveCrumble
width,Ether
sorting,Octopus
Order,Empty
sortingOrder,sortingEmpty
line,Deck
lineRenderer,DeckWestward
sourcePos,HazardPot
sourcePos_1,HazardPot_1
sourcePos_2,HazardPot_2
sRenderer,sWestward
Pointer,Visible
Up,Of
GCPointerUpEvent,GCVisibleOfAnvil
GCPointerDownEvent,GCVisibleMustAnvil
gMode,gSpur
SRenderer,SWestward
Mohu,Tine
SRMohu,SRTine
Lie,Eat
Anim,Gold
TileAnimController,TrimGoldModerately
m_TileAnimController,m_TrimGoldModerately
box,Air
Collider,Exchange
boxCollider,AirExchange
layer,Swamp
layerOffset,SwampSierra
select,Embody
selectPrefab,EmbodyDismal
hintPrefab,AvidDismal
Border,During
leftBorder,GushDuring
shadow,Nature
construct,Snowdrift
Hor,Bow
constructLineHor,SnowdriftWildBow
Vert,Homo
constructLineVert,SnowdriftWildHomo
Layer,Again
constructLayerText,SnowdriftAgainPity
Isgold,Priest
IsgoldTile,PriestTrim
raw,Ala
Over,Bryn
Blockers,Reactive
rawOverBlockers,AlaBrynReactive
Left,Pack
rawLeftBlockers,AlaPackReactive
rawRightBlockers,AlaBloomReactive
goldSprite,LimyCorpse
hintObject,AvidScreen
selectObject,EmbodyScreen
spriteTransformPosition,AttainRefurbishSynapsis
highlighted,Irregularly
Hint,Pack
highlightedHint,IrregularlyHint
Sel,Yew
highlightedSel,IrregularlyYew
temp,Room
tempBlockers,RoomReactive
tempGridObject,RoomSodaScreen
ins,Pul
insGoldTrans,PulHallRefer
qian,Look
qian_Skeleton,Look_Salinity
Occupied,National
tempOccupiedCells,RoomNationalAcorn
cached,Crayon
cachedTiles,CrayonCramp
last,Zone
Cache,Moose
lastCacheFrame,ZoneMooseDiver
shake,Cross
Origin,Myxoma
shakeOriginPos,CrossMyxomaPot
go,Go
Set,Old
goSet,goOld
vert,Bank
Size,Salt
vertSize,BankSalt
hor,Few
horSize,FewSalt
yStart,yVault
yStep,yHere
xStep,xHere
yOffset,ySierra
cell,Cult
cellSize,cellSalt
cOffset,cSierra
tiles,Exist
reusable,Nomadism
To,Dy
Fill,Brim
reusableFreeToFillTiles,NomadismBoldToBrimCramp
Animancer,Passenger
m_Animancer,m_Passenger
Nbroke,Mental
m_Nbroke,m_Mental
Gbroke,Corpus
m_Gbroke,m_Corpus
Load,Wide
m_Load,m_Wide
Shak,Spot
m_Shak,m_Spot
stop,Tree
Flag,Them
stopFlag,TreeThem
NumText,GetPity
Clock,Italy
ClockText,ItalyPity
Bar,Tie
GoldBar,HallTie
BackBtn,LashSty
SettingBtn,AdjunctSty
SelectBtn,ElevenSty
SelectText,ElevenPity
SelectLevelObj,ElevenDeltaSad
Img,Rag
cashImg,LashRag
cashNumText,LashGetPity
LevelText,DeltaPity
instrans,Abrasion
tip,Maw
tipPanel,MawDwarf
tipText,MawPity
Background,Unoccupied
tipBackground,MawUnoccupied
tipCloseButton,MawDodgeSeaman
Comboanim,Technical
ComboanimPB,TechnicalPB
ComboParent,PartyWeaver
DayTimeBtn,EyeSlitSty
Red,Mow
DayTimeRedPoint,EyeSlitMowNaked
Cashout,Kinfolk
CashoutBtn,KinfolkSty
originalCashoutBtnPosition,FidelityKinfolkStySynapsis
Sk,Be
SkBG,BeBG
m_SkBG,m_BeBG
SkSetting,BeAdjunct
m_SkSetting,m_BeAdjunct
Bottomobj,Regulator
m_Bottomobj,m_Regulator
GoldImg,HallRag
GoldFly,HallAxe
Logo,Form
settingbtn,Schoolroom
settingbtn1,Schoolroom1
Coinimage,Diversity
CoinStr,AiryOat
goldFlyFinishCount,LimyAxeUnfoldPulse
App,Map
AppSetting,MapAdjunct
_AppSetting,_MapAdjunct
SYS,SYS
PATH,PATH
CANVAS,CANVAS
SYS_PATH_CANVAS,SYS_PATH_CANVAS
UIFORMS,UIFORMS
CONFIG,CONFIG
INFO,INFO
SYS_PATH_UIFORMS_CONFIG_INFO,SYS_PATH_UIFORMS_CONFIG_INFO
TAG,TAG
SYS_TAG_CANVAS,SYS_TAG_CANVAS
NORMAL,NORMAL
NODE,NODE
SYS_NORMAL_NODE,SYS_NORMAL_NODE
FIXED,FIXED
SYS_FIXED_NODE,SYS_FIXED_NODE
POPUP,POPUP
SYS_POPUP_NODE,SYS_POPUP_NODE
TOP,TOP
SYS_TOP_NODE,SYS_TOP_NODE
SCRIPTMANAGER,SCRIPTMANAGER
SYS_SCRIPTMANAGER_NODE,SYS_SCRIPTMANAGER_NODE
UICAMERA,UICAMERA
SYS_UICAMERA_NODE,SYS_UICAMERA_NODE
on,Go
onClick,onThird
onDown,GoMust
Enter,Civic
onEnter,GoCivic
Exit,Pant
onExit,GoPant
onUp,GoOf
onSelect,GoEleven
Update,Mildly
onUpdateSelect,GoUpdateEleven
dic,Raw
Messages,Receiver
dicMessages,RawReceiver
_dicMessages,_RawReceiver
_Key,_Aie
Values,Stable
_Values,_Stable
Instance,Whatever
_Instance,_Whatever
ht,Dy
Go,An
GoCanvasRoot,GoSphereJune
_GoCanvasRoot,_GoSphereJune
Tra,Bid
Scripts,Portend
Node,Rime
TraUIScriptsNode,BidUIPortendRime
_TraUIScriptsNode,_BidUIPortendRime
GoToPanel,AnDyDwarf
_GoToPanel,_AnDyDwarf
GoMaskPanel,AnFendDwarf
_GoMaskPanel,_AnFendDwarf
Camera,Refuge
UICamera,UIRefuge
_UICamera,_UIRefuge
Original,Decrease
Depth,Crown
OriginalUICameraDepth,DecreaseUIRefugeCrown
_OriginalUICameraDepth,_DecreaseUIRefugeCrown
Instatnce,Statement
_Instatnce,_Statement
Lauguage,Dwelling
DicLauguageCache,MarDwellingMoose
_DicLauguageCache,_MarDwellingMoose
CurrentUIType,PrecedeUILieu
_CurrentUIType,_PrecedeUILieu
close,Cling
button,Makeup
close_button,Cling_Makeup
Main,Book
MainCanvas,BookSphere
Forms,Truth
